provider_admin1_name,provider_admin2_name,liv_name,adm1_final,adm1_1_final,adm2_final,adm2_1_final,lz_code1,lz_code2,lz_code3,Plotting_Level
nippes,nippes ht01,Nippes HT01,Nippes,Nippes,,,HT01,HT01,HT01,3
nippes,nippes ht07,Nippes HT07,Nippes,Nippes,,,HT07,HT07,HT07,3
nippes,nippes ht07 ht08,Nippes HT07 HT08,Nippes,Nippes,,,HT07,HT08,HT08,3
nord,,North,North,North,,,,,,2
nord,nord ht02,North HT02,North,North,,,HT02,HT02,HT02,3
nord,nord ht02 ht03,North HT02 HT03,North,North,,,HT02,HT03,HT03,3
nord,nord ht03,North HT03,North,North,,,HT03,HT03,HT03,3
nord,ville du cap haitien,Cap-Haitien,North,North,Cap-Haitien,Cap-Haitien,HT09,HT09,HT09,4
nord est,,North-East,North-East,North-East,,,,,,2
nord est,nord est ht02,North-East HT02,North-East,North-East,,,HT02,HT02,HT02,3
nord est,nord est ht02 ht03,North-East HT02 HT03,North-East,North-East,,,HT02,HT03,HT03,3
nord est,ville de ouanaminthe,Ouanaminthe,North-East,North-East,Ouanaminthe,Ouanaminthe,HT02,HT02,HT02,4
nord ouest,,North-West,North-West,North-West,,,,,,2
nord ouest,nord ouest ht01,North-West HT01,North-West,North-West,,,HT01,HT01,HT01,3
nord ouest,nord ouest ht02,North-West HT02,North-West,North-West,,,HT02,HT02,HT02,3
others,,Camp de deplacement,National,,,,,,,1
others,camp de deplacement,Camp de deplacement,National,,,,,,,1
ouest,,West,West,,,,,,,2
ouest,la gonave & artibon ht01,La Gonave & Artibonite,Artibonite,West,Anse a Galets,Pointe a Raquette,HT01,HT01,HT01,3
ouest,ouest ht01 la gonave,West HT01,West,West,,,HT01,HT01,HT01,3
ouest,ouest ht05,West HT05,West,West,,,HT05,HT05,HT05,3
ouest,ouest ht06,West HT06,West,West,,,HT06,HT06,HT06,3
ouest,ouest ht07,West HT07,West,West,,,HT07,HT07,HT07,3
ouest,ouest ht07 ht03,West HT07 HT03,West,West,,,HT07,HT03,HT03,3
petion ville,,Petion-Ville,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
petion ville,petion ville p tp,Petion-Ville P_TP,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
port au prince,,Port-au-Prince,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
port au prince,pap1 zone métropolitaine,ZMPAP Port-au-Prince 1,West,West,Port-au-Prince,Port-au-Prince ,HT09,HT09,HT09,4
port au prince,pap2 zone métropolitaine,ZMPAP Port-au-Prince 2,West,West,Port-au-Prince,Port-au-Prince ,HT09,HT09,HT09,4
port au prince,pap3 zone métropolitaine,ZMPAP Port-au-Prince 3,West,West,Port-au-Prince,Port-au-Prince ,HT09,HT09,HT09,4
port au prince,port au prince p tp,Port-au-Prince P_TP,West,West,Port-au-Prince,Port-au-Prince ,HT09,HT09,HT09,4
pétion ville,,Petion-Ville,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
pétion ville,pv1 pv2 ouest ht07,Petion-Ville 1 and 2,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
