provider_admin1_name,provider_admin2_name,liv_name,adm1_final,adm1_1_final,adm2_final,adm2_1_final,lz_code1,lz_code2,lz_code3,Plotting_Level
ouest,la gonave & artibon ht01,Petit-Goave HT01,West,,Petit-Goave,,HT01,HT01,HT01,
ouest,ouest ht01 la gonave,Ouest maraîchage et haricot HT01,,,,,HT01,HT01,HT01,
ouest,ouest ht05,West HT05,West,,,,HT05,HT05,HT05,
ouest,ouest ht06,West HT06,West,,,,HT06,HT06,HT06,
ouest,ouest ht07,West HT07,West,,,,HT07,HT07,HT07,
ouest,ouest ht07 ht03,West HT07 HT03,West,,,,HT07,HT03,HT03,
petion ville,,Petion-Ville,West,,Petion-Ville,,,,,
petion ville,petion ville p tp,Petion-Ville P+TP,West,,Petion-Ville,,HT07,HT07,HT07,
port au prince,,Port-au-Prince,West,,Port-au-Prince,,,,,
port au prince,pap1 zone métropolitaine,Port-de-Paix,North-West,,Port-de-Paix,,,,,
port au prince,pap2 zone métropolitaine,Port-de-Paix,North-West,,Port-de-Paix,,,,,
port au prince,pap3 zone métropolitaine,Port-de-Paix,North-West,,Port-de-Paix,,,,,
port au prince,port au prince p tp,Port-au-Prince P+TP,West,,Port-au-Prince,,HT07,HT07,HT07,
pétion ville,,Petion-Ville,West,,Petion-Ville,,,,,
pétion ville,pv1 pv2 ouest ht07,Pétion-Ville Pv1 + Pv2- ouest HT07,,,,,HT07,HT07,HT07,
pétion ville,pv3 ouest ht07,Petion-Ville HT07,West,,Petion-Ville,,HT07,HT07,HT07,
sud,,South,South,,,,,,,
sud,sud ht01,South HT01,South,,,,HT01,HT01,HT01,
sud,sud ht07,South HT07,South,,,,HT07,HT07,HT07,
sud,sud ht08,South HT08,South,,,,HT08,HT08,HT08,
sud,ville des cayes,Les Cayes,South,,Les Cayes,,,,,
sud est,,South-East,South-East,,,,,,,
sud est,sud est ht01,South-East HT01,South-East,,,,HT01,HT01,HT01,
sud est,sud est ht07,South-East HT07,South-East,,,,HT07,HT07,HT07,
tabarre,,Tabarre,West,,Tabarre,,,,,
tabarre,ta1 ta2 ouest ht07,Tabarre HT07,West,,Tabarre,,HT07,HT07,HT07,
tabarre,ta3 ouest ht07,Tabarre HT07,West,,Tabarre,,HT07,HT07,HT07,
tabarre,tabarre p tp,Tabarre P+TP,West,,Tabarre,,HT07,HT07,HT07,
zmpap,,ZMPAP,,,,,,,,
zmpap,camp de deplacement,ZMPAP Camp de deplacement,,,,,,,,
zmpap,carrefour p tp,ZMPAP Carrefour_ P+TP,,,,,,,,
zmpap,cite soleil p tp,ZMPAP Cite Soleil P_TP,,,,,,,,
zmpap,croix de bouquet p tp,ZMPAP Croix de Bouquet P+ TP,,,,,,,,
zmpap,delmas p tp,ZMPAP Delmas P+TP,,,,,,,,
zmpap,petion ville p tp,Petion-Ville P+TP,West,,Petion-Ville,,HT07,HT07,HT07,
zmpap,port au prince p tp,Port-au-Prince P+TP,West,,Port-au-Prince,,HT07,HT07,HT07,
zmpap,tabarre p tp,Tabarre P+TP,West,,Tabarre,,HT07,HT07,HT07,
zone métropolitaine,,Zone Métropolitaine,,,,,,,,
zone métropolitaine,carrefour p tp,Zone Métropolitaine Carrefour P+TP,,,,,,,,
zone métropolitaine,cite soleil p tp,Zone Métropolitaine Cite Soleil P+TP,,,,,,,,
zone métropolitaine,croix des bouquets p tp,Zone Métropolitaine Croix des Bouquets P+TP,,,,,,,,
zone métropolitaine,delmas p tp,Zone Métropolitaine Delmas P+TP,,,,,,,,
zone métropolitaine,petion ville p tp,Zone Métropolitaine Petion Ville P+TP,,,,,,,,
zone métropolitaine,port au prince p tp,Port-au-Prince P+TP,West,,Port-au-Prince,,HT07,HT07,HT07,
zone métropolitaine,tabarre p tp,Zone Métropolitaine Tabarre P+TP,,,,,,,,
